#measurement data v1.0
#sensorId:4
#failures:0000011000000000000000000000000010000000000100000000000000000000
#functionalisation:0;2;1;2;0
#baseLevel:2.12.2019 - 18:10:16;1453.666667;1304.733333;1582.233333;1402.8;1417.666667;1700.933333;83438.23333;2122.566667;3575.6;2851.133333;2423.8;347.9;1655.366667;1859.066667;1717.766667;2952.466667;2917.766667;2013.166667;1970.333333;2035.766667;2349.8;1976.566667;2955.8;2696.3;3174.133333;6153.133333;5605.166667;4155.466667;4338.966667;3557.166667;4312.933333;2540.333333;347.9;1857.633333;2067.566667;1918.366667;2154.133333;2668.2;3732.2;2633.666667;3259.1;3106;2659.166667;347.9;1768.3;1404.733333;1476.233333;1675.6;1974.733333;1692.9;1769.366667;1885.466667;2338.5;1452.966667;2510.666667;2781.166667;882.8333333;3864.333333;1396.9;1148.266667;1157.233333;1127.1;1118.4;2009.133333
#baseLevel:2.12.2019 - 18:12:13;1441.866667;1296.9;1567.9;1391.466667;1402.3;1685.9;80991.06667;2075.666667;3518.6;2805.633333;2401.8;347.9;1645.533333;1846.466667;1705.333333;2933.933333;2907.766667;2000.333333;1960.666667;2017.033333;2344.7;1961.833333;2918.333333;2649.4;3123.033333;6036.533333;5506.3;4087.266667;4333.866667;3502;4266.633333;2509.533333;347.9;1835.433333;2040.5;1902.166667;2130.433333;2632.433333;3666.033333;2597.066667;3205.633333;3053.733333;2639.7;347.9;1756.6;1394.966667;1466.8;1668.233333;1971.4;1686.866667;1761.833333;1867.666667;2312.333333;1442.766667;2493.233333;2730.066667;870.1666667;3832.066667;1384.533333;1135.066667;1149.666667;1116.266667;1110.433333;1988.566667
#classes:Wodka[Alk];Wasser[W];Traubensaft[Tr];Apfelsaft[Apf]
#header:timestamp;ch1;ch2;ch3;ch4;ch5;ch6;ch7;ch8;ch9;ch10;ch11;ch12;ch13;ch14;ch15;ch16;ch17;ch18;ch19;ch20;ch21;ch22;ch23;ch24;ch25;ch26;ch27;ch28;ch29;ch30;ch31;ch32;ch33;ch34;ch35;ch36;ch37;ch38;ch39;ch40;ch41;ch42;ch43;ch44;ch45;ch46;ch47;ch48;ch49;ch50;ch51;ch52;ch53;ch54;ch55;ch56;ch57;ch58;ch59;ch60;ch61;ch62;ch63;ch64;user defined class;detected class
2.12.2019 - 18:10:18;1451.4;1304;1580.3;1402.4;1416.7;;
2.12.2019 - 18:10:20;1450.8;1303.5;1579.5;1400.7;1414.5;;
2.12.2019 - 18:10:22;1450;1304;1579.9;1402.1;1414.7;;
2.12.2019 - 18:10:24;1451;1303.5;1578.1;1403;1414.8;;
2.12.2019 - 18:10:26;1450.7;1302.2;1577.5;1400.7;1413.1;;
2.12.2019 - 18:10:28;1449.1;1302.5;1576.8;1400.9;1414;;
2.12.2019 - 18:10:37;1445;1298.2;1576;1397.2;1408.6;[Tr]Traubensaft;
2.12.2019 - 18:10:39;1445.8;1298.6;1575.2;1396.6;1407;[Tr]Traubensaft;
2.12.2019 - 18:10:41;1447;1299.4;1574.9;1396.4;1408.6;[Tr]Traubensaft;
2.12.2019 - 18:10:43;1448;1299.2;1575.5;1397.3;1408.5;[Tr]Traubensaft;
2.12.2019 - 18:10:45;1446;1297.8;1574.2;1396.1;1409;[Tr]Traubensaft;
2.12.2019 - 18:10:47;1447;1298.9;1575.2;1395.7;1410;[Tr]Traubensaft;
