#measurement data v1.0
#sensorId:4
#failures:0000011000000000000000000000000010000000000100000000000000000000
#functionalisation:0;2;2;2;2;0;0;0;0;0
#baseLevel:2.12.2019 - 18:10:16;1453.666667;1304.733333;1582.233333;1402.8;1417.666667;1700.933333;83438.23333;2122.566667;3575.6;2851.133333;2423.8;347.9;1655.366667;1859.066667;1717.766667;2952.466667;2917.766667;2013.166667;1970.333333;2035.766667;2349.8;1976.566667;2955.8;2696.3;3174.133333;6153.133333;5605.166667;4155.466667;4338.966667;3557.166667;4312.933333;2540.333333;347.9;1857.633333;2067.566667;1918.366667;2154.133333;2668.2;3732.2;2633.666667;3259.1;3106;2659.166667;347.9;1768.3;1404.733333;1476.233333;1675.6;1974.733333;1692.9;1769.366667;1885.466667;2338.5;1452.966667;2510.666667;2781.166667;882.8333333;3864.333333;1396.9;1148.266667;1157.233333;1127.1;1118.4;2009.133333
#baseLevel:2.12.2019 - 18:12:13;1441.866667;1296.9;1567.9;1391.466667;1402.3;1685.9;80991.06667;2075.666667;3518.6;2805.633333;2401.8;347.9;1645.533333;1846.466667;1705.333333;2933.933333;2907.766667;2000.333333;1960.666667;2017.033333;2344.7;1961.833333;2918.333333;2649.4;3123.033333;6036.533333;5506.3;4087.266667;4333.866667;3502;4266.633333;2509.533333;347.9;1835.433333;2040.5;1902.166667;2130.433333;2632.433333;3666.033333;2597.066667;3205.633333;3053.733333;2639.7;347.9;1756.6;1394.966667;1466.8;1668.233333;1971.4;1686.866667;1761.833333;1867.666667;2312.333333;1442.766667;2493.233333;2730.066667;870.1666667;3832.066667;1384.533333;1135.066667;1149.666667;1116.266667;1110.433333;1988.566667
#classes:Wodka[Alk];Wasser[W];Traubensaft[Tr];Apfelsaft[Apf]
#header:timestamp;ch1;ch2;ch3;ch4;ch5;ch6;ch7;ch8;ch9;ch10;ch11;ch12;ch13;ch14;ch15;ch16;ch17;ch18;ch19;ch20;ch21;ch22;ch23;ch24;ch25;ch26;ch27;ch28;ch29;ch30;ch31;ch32;ch33;ch34;ch35;ch36;ch37;ch38;ch39;ch40;ch41;ch42;ch43;ch44;ch45;ch46;ch47;ch48;ch49;ch50;ch51;ch52;ch53;ch54;ch55;ch56;ch57;ch58;ch59;ch60;ch61;ch62;ch63;ch64;user defined class;detected class
2.12.2019 - 18:10:18;1451.4;1304;1580.3;1402.4;1416.7;1699.2;84651.3;2122.1;3570.3;2850.8;;
2.12.2019 - 18:10:20;1450.8;1303.5;1579.5;1400.7;1414.5;1698.2;82145.2;2120.1;3571.2;2848;;
2.12.2019 - 18:10:22;1450;1304;1579.9;1402.1;1414.7;1698.1;82378.2;2119.2;3569.3;2846.2;;
2.12.2019 - 18:10:24;1451;1303.5;1578.1;1403;1414.8;1695.7;84988.8;2119.9;3565;2844.7;;
2.12.2019 - 18:10:26;1450.7;1302.2;1577.5;1400.7;1413.1;1694;83998.3;2116.4;3561.4;2843.9;;
2.12.2019 - 18:10:28;1449.1;1302.5;1576.8;1400.9;1414;1695.1;83530.2;2116.4;3555.2;2841.5;;
2.12.2019 - 18:10:30;1449.2;1302.4;1578.2;1399.1;1412.3;1692.5;82071.7;2114.2;3556.5;2843;;
2.12.2019 - 18:10:32;1449.4;1299.3;1577.3;1400.1;1411.6;1692.3;85318;2116.7;3568.2;2845.3;;
2.12.2019 - 18:10:33;1448.5;1300.6;1576.1;1397.3;1409.4;1693.1;81711.5;2113.1;3563;2841.4;;
2.12.2019 - 18:10:35;1447.2;1299.3;1575.7;1397.3;1408.4;1691.3;81058.6;2111.9;3553;2837.9;;
2.12.2019 - 18:10:37;1445;1298.2;1576;1397.2;1408.6;1689.1;81437;2111.3;3551.7;2834.9;2;
2.12.2019 - 18:10:39;1445.8;1298.6;1575.2;1396.6;1407;1688.8;82096;2110.1;3547.7;2829.1;2;
2.12.2019 - 18:10:41;1447;1299.4;1574.9;1396.4;1408.6;1692.6;83095.9;2109.7;3554.6;2839.9;2;
2.12.2019 - 18:10:43;1448;1299.2;1575.5;1397.3;1408.5;1692.3;82029.5;2107.5;3554.1;2836.3;2;
2.12.2019 - 18:10:45;1446;1297.8;1574.2;1396.1;1409;1690.6;81952.2;2106.7;3558.8;2839.2;2;
2.12.2019 - 18:10:47;1447;1298.9;1575.2;1395.7;1410;1690.9;81381.9;2108.7;3552.5;2834.7;2;
2.12.2019 - 18:10:48;1447.4;1298.3;1574.8;1396.4;1409.2;1689.4;82004.8;2107.8;3554.6;2835.3;2;
2.12.2019 - 18:10:50;1445.2;1298.9;1575;1395;1408.3;1689.1;81489;2104.3;3553.3;2837.1;2;
2.12.2019 - 18:10:52;1446.7;1297.9;1576.4;1397.3;1409.4;1690.3;81823;2103.8;3550.7;2839.2;2;
2.12.2019 - 18:10:54;1445.2;1298.1;1575;1396.4;1408.4;1689.3;81899.7;2103.2;3545.2;2832.7;2;
2.12.2019 - 18:10:56;1446.5;1298.4;1575.5;1396.3;1409.9;1689.5;83399.3;2099.9;3551.9;2840.1;2;
2.12.2019 - 18:10:58;1446.8;1297.1;1576.6;1395.1;1407.5;1690.8;83218.3;2100.5;3551;2838.7;2;
2.12.2019 - 18:11:00;1446.1;1297.4;1575;1396.1;1408.5;1687.9;81278.4;2099.3;3548.8;2833.5;2;
2.12.2019 - 18:11:02;1447;1298.2;1573.8;1395.8;1408.2;1688.4;83077.6;2098.3;3559;2833.8;2;
2.12.2019 - 18:11:04;1446.3;1297.3;1575.1;1395.2;1407.9;1687.7;82279.1;2099.9;3553.4;2834.4;2;
2.12.2019 - 18:11:05;1445.2;1297.3;1574.3;1394.7;1407.1;1687.5;80331.6;2096.7;3551.1;2831.1;2;
2.12.2019 - 18:11:07;1446.2;1296.9;1574.3;1394.9;1408;1687;82244;2097.6;3549.8;2829.7;2;
